# wavenumber (k), Specular Transmittance [-]
 81.71857000,  0.32091000
 81.95962000,  0.31856000
 82.20068000,  0.31620000
 82.44174000,  0.31383000
 82.68280000,  0.31143000
 82.92385000,  0.30904000
 83.16491000,  0.30669000
 83.40597000,  0.30436000
 83.64703000,  0.30206000
 83.88809000,  0.29975000
 84.12914000,  0.29744000
 84.37020000,  0.29512000
 84.61126000,  0.29281000
 84.85232000,  0.29050000
 85.09337000,  0.28824000
 85.33443000,  0.28600000
 85.57549000,  0.28382000
 85.81655000,  0.28167000
 86.05761000,  0.27956000
 86.29866000,  0.27749000
 86.53972000,  0.27543000
 86.78078000,  0.27338000
 87.02184000,  0.27129000
 87.26289000,  0.26918000
 87.50395000,  0.26704000
 87.74501000,  0.26488000
 87.98607000,  0.26271000
 88.22712000,  0.26052000
 88.46818000,  0.25829000
 88.70924000,  0.25603000
 88.95030000,  0.25376000
 89.19136000,  0.25153000
 89.43241000,  0.24941000
 89.67347000,  0.24738000
 89.91453000,  0.24544000
 90.15559000,  0.24354000
 90.39664000,  0.24167000
 90.63770000,  0.23980000
 90.87876000,  0.23794000
 91.11982000,  0.23607000
 91.36088000,  0.23414000
 91.60193000,  0.23220000
 91.84299000,  0.23025000
 92.08405000,  0.22834000
 92.32511000,  0.22650000
 92.56616000,  0.22468000
 92.80722000,  0.22284000
 93.04828000,  0.22102000
 93.28934000,  0.21925000
 93.53039000,  0.21753000
 93.77145000,  0.21592000
 94.01251000,  0.21433000
 94.25357000,  0.21266000
 94.49463000,  0.21095000
 94.73568000,  0.20921000
 94.97674000,  0.20747000
 95.21780000,  0.20584000
 95.45886000,  0.20418000
 95.69991000,  0.20239000
 95.94097000,  0.20049000
 96.18203000,  0.19843000
 96.42309000,  0.19636000
 96.66414000,  0.19443000
 96.90520000,  0.19260000
 97.14626000,  0.19088000
 97.38732000,  0.18926000
 97.62838000,  0.18765000
 97.86943000,  0.18617000
 98.11049000,  0.18493000
 98.35155000,  0.18379000
 98.59261000,  0.18275000
 98.83366000,  0.18150000
 99.07472000,  0.17969000
 99.31578000,  0.17751000
 99.55684000,  0.17494000
 99.79790000,  0.17236000
100.03895000,  0.17017000
100.28001000,  0.16848000
100.52107000,  0.16737000
100.76213000,  0.16627000
101.00318000,  0.16479000
101.24424000,  0.16316000
101.48530000,  0.16144000
101.72636000,  0.16030000
101.96741000,  0.15992000
102.20847000,  0.15982000
102.44953000,  0.15976000
102.69059000,  0.15951000
102.93165000,  0.15928000
103.17270000,  0.15949000
103.41376000,  0.15908000
103.65482000,  0.15852000
103.89588000,  0.15756000
104.13693000,  0.15618000
104.37799000,  0.15450000
104.61905000,  0.15261000
104.86011000,  0.15062000
105.10117000,  0.14881000
105.34222000,  0.14764000
105.58328000,  0.14748000
105.82434000,  0.14819000
106.06540000,  0.14896000
106.30645000,  0.14879000
106.54751000,  0.14712000
106.78857000,  0.14421000
107.02963000,  0.14099000
107.27068000,  0.13844000
107.51174000,  0.13696000
107.75280000,  0.13629000
107.99386000,  0.13575000
108.23492000,  0.13471000
108.47597000,  0.13283000
108.71703000,  0.13004000
108.95809000,  0.12655000
109.19915000,  0.12296000
109.44020000,  0.12021000
109.68126000,  0.11920000
109.92232000,  0.12016000
110.16338000,  0.12234000
110.40443000,  0.12433000
110.64549000,  0.12482000
110.88655000,  0.12329000
111.12761000,  0.12022000
111.36867000,  0.11678000
111.60972000,  0.11416000
111.85078000,  0.11310000
112.09184000,  0.11360000
112.33290000,  0.11511000
112.57395000,  0.11689000
112.81501000,  0.11842000
113.05607000,  0.11942000
113.29713000,  0.11975000
113.53819000,  0.11915000
113.77924000,  0.11729000
114.02030000,  0.11417000
114.26136000,  0.11038000
114.50242000,  0.10699000
114.74347000,  0.10488000
114.98453000,  0.10420000
115.22559000,  0.10438000
115.46665000,  0.10461000
115.70770000,  0.10448000
115.94876000,  0.10419000
116.18982000,  0.10414000
116.43088000,  0.10447000
116.67194000,  0.10483000
116.91299000,  0.10472000
117.15405000,  0.10386000
117.39511000,  0.10243000
117.63617000,  0.10087000
117.87722000,  0.09961000
118.11828000,  0.09878000
118.35934000,  0.09823000
118.60040000,  0.09773000
118.84145000,  0.09711000
119.08251000,  0.09634000
119.32357000,  0.09547000
119.56463000,  0.09464000
119.80569000,  0.09390000
120.04674000,  0.09326000
120.28780000,  0.09259000
120.52886000,  0.09178000
120.76992000,  0.09081000
121.01097000,  0.08979000
121.25203000,  0.08883000
121.49309000,  0.08791000
121.73415000,  0.08698000
121.97521000,  0.08608000
122.21626000,  0.08536000
122.45732000,  0.08485000
122.69838000,  0.08440000
122.93944000,  0.08369000
123.18049000,  0.08250000
123.42155000,  0.08090000
123.66261000,  0.07914000
123.90367000,  0.07753000
124.14472000,  0.07626000
124.38578000,  0.07540000
124.62684000,  0.07490000
124.86790000,  0.07464000
125.10896000,  0.07443000
125.35001000,  0.07406000
125.59107000,  0.07333000
125.83213000,  0.07225000
126.07319000,  0.07100000
126.31424000,  0.06994000
126.55530000,  0.06945000
126.79636000,  0.06973000
127.03742000,  0.07060000
127.27848000,  0.07158000
127.51953000,  0.07225000
127.76059000,  0.07246000
128.00165000,  0.07235000
128.24271000,  0.07211000
128.48376000,  0.07176000
128.72482000,  0.07116000
128.96588000,  0.07024000
129.20694000,  0.06913000
129.44799000,  0.06807000
129.68905000,  0.06722000
129.93011000,  0.06648000
130.17117000,  0.06558000
130.41223000,  0.06429000
130.65328000,  0.06263000
130.89434000,  0.06099000
131.13540000,  0.05992000
131.37646000,  0.05980000
131.61751000,  0.06055000
131.85857000,  0.06160000
132.09963000,  0.06221000
132.34069000,  0.06187000
132.58174000,  0.06065000
132.82280000,  0.05900000
133.06386000,  0.05753000
133.30492000,  0.05672000
133.54598000,  0.05674000
133.78703000,  0.05738000
134.02809000,  0.05819000
134.26915000,  0.05865000
134.51021000,  0.05846000
134.75126000,  0.05775000
134.99232000,  0.05691000
135.23338000,  0.05638000
135.47444000,  0.05636000
135.71550000,  0.05671000
135.95655000,  0.05712000
136.19761000,  0.05731000
136.43867000,  0.05717000
136.67973000,  0.05682000
136.92078000,  0.05654000
137.16184000,  0.05654000
137.40290000,  0.05674000
137.64396000,  0.05672000
137.88501000,  0.05597000
138.12607000,  0.05427000
138.36713000,  0.05193000
138.60819000,  0.04968000
138.84925000,  0.04820000
139.09030000,  0.04770000
139.33136000,  0.04788000
139.57242000,  0.04818000
