# wavenumber (k), Specular Transmittance [-]
 75.69212000,  0.82657000
 75.93318000,  0.82493000
 76.17424000,  0.82334000
 76.41530000,  0.82195000
 76.65635000,  0.82071000
 76.89741000,  0.81967000
 77.13847000,  0.81869000
 77.37953000,  0.81767000
 77.62059000,  0.81658000
 77.86164000,  0.81537000
 78.10270000,  0.81408000
 78.34376000,  0.81273000
 78.58482000,  0.81140000
 78.82587000,  0.81015000
 79.06693000,  0.80896000
 79.30799000,  0.80783000
 79.54905000,  0.80665000
 79.79010000,  0.80529000
 80.03116000,  0.80381000
 80.27222000,  0.80214000
 80.51328000,  0.80045000
 80.75434000,  0.79886000
 80.99539000,  0.79738000
 81.23645000,  0.79616000
 81.47751000,  0.79505000
 81.71857000,  0.79402000
 81.95962000,  0.79291000
 82.20068000,  0.79150000
 82.44174000,  0.78989000
 82.68280000,  0.78802000
 82.92385000,  0.78609000
 83.16491000,  0.78428000
 83.40597000,  0.78256000
 83.64703000,  0.78099000
 83.88809000,  0.77951000
 84.12914000,  0.77806000
 84.37020000,  0.77663000
 84.61126000,  0.77519000
 84.85232000,  0.77372000
 85.09337000,  0.77222000
 85.33443000,  0.77068000
 85.57549000,  0.76910000
 85.81655000,  0.76752000
 86.05761000,  0.76592000
 86.29866000,  0.76435000
 86.53972000,  0.76286000
 86.78078000,  0.76150000
 87.02184000,  0.76037000
 87.26289000,  0.75937000
 87.50395000,  0.75851000
 87.74501000,  0.75755000
 87.98607000,  0.75621000
 88.22712000,  0.75457000
 88.46818000,  0.75252000
 88.70924000,  0.75035000
 88.95030000,  0.74829000
 89.19136000,  0.74633000
 89.43241000,  0.74455000
 89.67347000,  0.74287000
 89.91453000,  0.74127000
 90.15559000,  0.73973000
 90.39664000,  0.73825000
 90.63770000,  0.73679000
 90.87876000,  0.73523000
 91.11982000,  0.73367000
 91.36088000,  0.73210000
 91.60193000,  0.73063000
 91.84299000,  0.72946000
 92.08405000,  0.72831000
 92.32511000,  0.72705000
 92.56616000,  0.72550000
 92.80722000,  0.72335000
 93.04828000,  0.72096000
 93.28934000,  0.71854000
 93.53039000,  0.71624000
 93.77145000,  0.71436000
 94.01251000,  0.71266000
 94.25357000,  0.71105000
 94.49463000,  0.70946000
 94.73568000,  0.70780000
 94.97674000,  0.70614000
 95.21780000,  0.70451000
 95.45886000,  0.70287000
 95.69991000,  0.70119000
 95.94097000,  0.69938000
 96.18203000,  0.69728000
 96.42309000,  0.69516000
 96.66414000,  0.69315000
 96.90520000,  0.69145000
 97.14626000,  0.69042000
 97.38732000,  0.68968000
 97.62838000,  0.68908000
 97.86943000,  0.68830000
 98.11049000,  0.68689000
 98.35155000,  0.68510000
 98.59261000,  0.68294000
 98.83366000,  0.68071000
 99.07472000,  0.67867000
 99.31578000,  0.67687000
 99.55684000,  0.67545000
 99.79790000,  0.67442000
100.03895000,  0.67468000
100.28001000,  0.67471000
100.52107000,  0.67437000
100.76213000,  0.67327000
101.00318000,  0.67085000
101.24424000,  0.66781000
101.48530000,  0.66486000
101.72636000,  0.66265000
101.96741000,  0.66159000
102.20847000,  0.66120000
102.44953000,  0.66094000
102.69059000,  0.66051000
102.93165000,  0.65989000
103.17270000,  0.65953000
103.41376000,  0.65906000
103.65482000,  0.66008000
103.89588000,  0.66264000
104.13693000,  0.66602000
104.37799000,  0.66911000
104.61905000,  0.67094000
104.86011000,  0.67106000
105.10117000,  0.66952000
105.34222000,  0.66657000
105.58328000,  0.66250000
105.82434000,  0.65764000
106.06540000,  0.65244000
106.30645000,  0.64756000
106.54751000,  0.64372000
106.78857000,  0.64147000
107.02963000,  0.64079000
107.27068000,  0.64100000
107.51174000,  0.64090000
107.75280000,  0.63949000
107.99386000,  0.63657000
108.23492000,  0.63288000
108.47597000,  0.62939000
108.71703000,  0.62659000
108.95809000,  0.62414000
109.19915000,  0.62139000
109.44020000,  0.61817000
109.68126000,  0.61504000
109.92232000,  0.61292000
110.16338000,  0.61229000
110.40443000,  0.61269000
110.64549000,  0.61281000
110.88655000,  0.61116000
111.12761000,  0.60694000
111.36867000,  0.60074000
111.60972000,  0.59446000
111.85078000,  0.59035000
112.09184000,  0.58963000
112.33290000,  0.59175000
112.57395000,  0.59466000
112.81501000,  0.59608000
113.05607000,  0.59477000
113.29713000,  0.59106000
113.53819000,  0.58637000
113.77924000,  0.58215000
114.02030000,  0.57920000
114.26136000,  0.57767000
